roundness,hu0,hu1,hu2,hu3,hu4,hu5,hu6,sonka0,sonka1,sonka2,sonka3,complexity,fourier0,fourier1,fourier2,fourier3,fourier4
0.33441466650281987,-1.261698064222948,-0.6219358519973558,-0.7959736660354565,-0.625142264267053,-0.3087452043599108,-0.32761306938569246,0.37402652263848085,-0.9855372414994955,-0.07410123614766992,0.5605732986827212,0.22146722505280095,0.06902991011570586,(-0.2634421893705599-0.43884592115910365j),(0.321223115553652+0.3542470319003007j),(-0.4502746437037444+0.5177089436888355j),(-0.35521438292764007+0.18662428124518088j),(-0.23599366126743676-0.3494709425268241j)
0.07223314842712412,1.7597628060095556,2.271530879671293,2.106224240728732,2.2543002817915947,2.339806191078952,2.304841936646838,-2.641070994550675,-0.6076235507312998,-0.32803375901387855,-0.710850372450539,0.5105709363599089,0.2612850762286178,(0.44253682311436915+1.4069950385671175j),(-0.3893701053705327-1.4555625745851717j),(1.1479163178272813-1.503741794708171j),(0.7728551455190612+0.263567398132198j),(1.0239609898427098-0.24015236297957127j)
-0.060161339538589556,1.7108299432811365,2.2384022267110897,1.9344998073386743,2.279852130312693,2.3546737603687857,2.4481997963887214,-2.3268761439400167,-0.6737696216100905,-0.268098415700753,-0.5475957426756212,-1.5276045802981078,-0.35857197243123684,(-0.3844480617756472-0.3661421166063233j),(-0.11129929955351185+0.48612009998875805j),(-0.08464503114467525+0.010347979973597956j),(-0.12163293963764267+0.3052628469356724j),(0.13927696435016243-0.10734481923581018j)
-0.788683461390686,-0.14487123932375906,-0.6036831655366727,-0.7281005888415947,-0.43604705308309105,-0.31335302074516985,-0.34885075716363834,0.34816412983578365,0.6524771616717168,-0.04789139036958407,0.5962060892467973,0.26674866301397887,-0.28019346199763084,(-0.0032127096264702344-0.06262462449632528j),(-0.034247906576406854+0.0783240403398248j),(-0.07151347548961737-0.48154103382574526j),(0.5404398162627281+0.3359811548230916j),(-0.837843623689945+0.2263689078156979j)
-0.46834506088958044,-0.9030311473470035,-0.4155642935838721,-0.812415137130815,-0.6234954179187915,-0.3087225755231878,-0.332028145987794,0.374036685194431,-0.9035149475556932,-0.07368403189261742,0.6006634462589523,0.20989586086161338,-0.23511294839675248,(-0.08109770484852918-0.45154819505798016j),(0.5808802669209087+0.4567470393702024j),(-0.4757588859265642+0.41879159360975493j),(0.24335213400317457+0.70656540615162j),(-0.33366684207633573-0.4010167826986022j)
-0.7497149423360655,0.5398299125597144,-0.31232667558613736,0.6331098381925423,-0.41721949254946195,-0.2602045559145658,-0.22570495460992873,0.377607803187966,1.413065515675598,-0.727991743930039,-2.1508182749290308,1.476227815092044,0.20469692526546585,(0.669339266282468+0.465522553404332j),(-0.10903153812607103-0.9499106157940018j),(-0.6661384704279437+0.8425242093537069j),(-0.6090183499092194-0.20018079521219848j),(0.21312496601501266-0.7850996414210654j)
3.4860795685522508,1.4010895713807268,1.9545608567841193,0.739732751459918,0.04235484653329685,-0.279719652841704,-0.3008814200887021,-0.1843754268569864,-0.9258234706877324,-0.23210174666948505,-0.3600182766845347,0.38109335223927515,-0.3897698418007071,(-0.5947041218386304-0.7925039681330881j),(0.1563376710505396+0.8511289888405899j),(0.002919948589616504+0.4555374918680125j),(-0.1962485059560301+0.5009719929570348j),(-0.12816098751422922-0.030440422978353414j)
-0.55005197004826,-0.3394472454683658,-0.5448388716187625,-0.6440098834219644,-0.5198632412796823,-0.31601892343956717,-0.3481008755036161,0.3712720065571465,0.20748557526171227,-0.05806630768752261,0.41417272655806564,0.2883003924314379,-0.2763330349903052,(0.4303359547641326+0.3491964661198834j),(0.733661936467368-0.5930818396793234j),(-1.2841295166800022+0.389630080767973j),(-0.7816670964176264-0.6531715496912531j),(-0.2662347229795333-1.0294354785184436j)
-0.778434009335326,0.6162298532683563,-0.3181923343917197,0.7938434694366429,-0.364337665606132,-0.23948188716935356,-0.20440433207071743,0.37713729920777544,1.584340195757805,-0.856892904620343,-2.4747020353800657,0.8647750747144456,0.0933338229512173,(0.4607545580482844+1.95252427548729j),(-1.7247044576266368-1.9145428248051088j),(-0.13913109746680402-0.9994114369635085j),(-0.6056245770245807-0.9385500347016532j),(1.4442779444802474+0.9801873246125321j)
1.250311066939026,-0.2950511814951954,-0.3855454300224904,-0.26843401924321325,-0.07327681156732148,-0.42411742167109345,-0.5406126391045626,0.4248310073049648,-0.02032171984613733,0.25268353402635746,0.6510830437338023,0.10330466398095751,-0.2504045974830559,(-0.07976062338548955-0.14418659374174317j),(-0.16837903213784008+0.14366280098667172j),(0.2966896108957179-0.1506085657234848j),(0.45132060269559615-0.0640629992211052j),(-0.03344626203948827+0.7423206963078997j)
